Feature,Correlation_with_Profit_YJ
Profit_YJ,1.0
Sales_Log,0.419757352257672
ShippingCost_Log,0.39778775739418076
Quantity,0.16430419950950498
Category_Technology,0.15642759428772118
Sub-Category_Copiers,0.12064596974282568
Region_North Asia,0.09179349612263944
Sub-Category_Phones,0.08461290487139839
Sub-Category_Bookcases,0.07837485216173531
Region_Central Asia,0.07280125021397778
Sub-Category_Appliances,0.07056032961192946
Market_EU,0.05866638022391127
Region_North,0.03633257721142439
Sub-Category_Chairs,0.033572570866303275
Sub-Category_Machines,0.03219458813138298
Region_West,0.0275243946829833
Region_Canada,0.020305275806549797
Market_Canada,0.020305275806549797
Region_Central,0.009057704060081904
Segment_Home Office,0.005268987184628799
Order Month,0.004860132139034066
Order Day,0.002934302122604552
Ship Mode_Standard Class,0.0028971429723433826
Ship Mode_Same Day,0.002503989170193511
Order Year,0.002117282275252197
Ship Mode_Second Class,0.0011009397216400184
Region_Oceania,0.0009529040492095871
Segment_Corporate,2.7074746784200168e-05
Order Priority_High,-0.00046971038855776563
Market_US,-0.0018079114241747003
Order Priority_Medium,-0.0032628545419342535
Order Priority_Low,-0.003328879098281444
Region_East,-0.005296812362957863
Region_Caribbean,-0.007454386985114572
Sub-Category_Paper,-0.009388542506471137
Sub-Category_Storage,-0.013085835868686066
Region_South,-0.015908347315615603
Sub-Category_Furnishings,-0.020414406996745016
Market_LATAM,-0.023601454530958913
Market_Africa,-0.025324495474281485
Sub-Category_Envelopes,-0.03110018356417956
Sub-Category_Supplies,-0.03890320176873868
Sub-Category_Art,-0.04308705944407134
Sub-Category_Tables,-0.0640673123380226
Sub-Category_Labels,-0.06490985890551951
Market_EMEA,-0.06657431434523303
Region_EMEA,-0.06657431434523303
Sub-Category_Fasteners,-0.06675177938983891
Sub-Category_Binders,-0.07619713785687805
Region_Southeast Asia,-0.08957527051798413
Category_Office Supplies,-0.15197407512070635
Discount,-0.5876315440629417
