column,dtype
customer_id,int64
age,int64
gender,object
item_purchased,object
category,object
purchase_amount_usd,int64
location,object
size,object
color,object
season,object
review_rating,float64
subscription_status,object
payment_method,object
shipping_type,object
discount_applied,object
promo_code_used,object
previous_purchases,int64
preferred_payment_method,object
frequency_of_purchases,category
spend_band,category
discount_applied_bin,int64
promo_code_used_bin,int64
subscription_status_bin,int64
